,Artist,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
0,Gorillaz,Feel Good Inc.,Demon Days,album,0.82,0.71,6.00,-6.68,0.18,0.01,0.00,0.61,0.77,138.56,222640.00
1,Gorillaz,Rhinestone Eyes,Plastic Beach,album,0.68,0.70,8.00,-5.82,0.03,0.09,0.00,0.05,0.85,92.76,200173.00
2,Gorillaz,New Gold (feat. Tame Impala and Bootie Brown),New Gold (feat. Tame Impala and Bootie Brown),single,0.70,0.92,1.00,-3.93,0.05,0.04,0.05,0.12,0.55,108.01,215150.00
3,Gorillaz,On Melancholy Hill,Plastic Beach,album,0.69,0.74,2.00,-5.81,0.03,0.00,0.51,0.06,0.58,120.42,233867.00
4,Gorillaz,Clint Eastwood,Gorillaz,album,0.66,0.69,10.00,-8.63,0.17,0.03,0.00,0.07,0.53,167.95,340920.00
5,Gorillaz,DARE,Demon Days,album,0.76,0.89,11.00,-5.85,0.04,0.02,0.09,0.30,0.97,120.26,245000.00
6,Gorillaz,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,New Gold (feat. Tame Impala and Bootie Brown) [Dom Dolla Remix],single,0.72,0.90,4.00,-7.19,0.06,0.01,0.26,0.33,0.36,127.03,274142.00
7,Gorillaz,She's My Collar (feat. Kali Uchis),Humanz (Deluxe),album,0.73,0.82,11.00,-5.89,0.03,0.01,0.08,0.11,0.46,140.16,209560.00
8,Gorillaz,Cracker Island (feat. Thundercat),Cracker Island (feat. Thundercat),single,0.74,0.91,2.00,-3.34,0.05,0.00,0.10,0.33,0.64,120.01,213750.00
9,Gorillaz,Dirty Harry,Demon Days,album,0.63,0.88,10.00,-7.18,0.16,0.03,0.08,0.67,0.87,192.30,230426.00
10,Red Hot Chili Peppers,Californication,Californication (Deluxe Edition),album,0.59,0.77,9.00,-2.79,0.03,0.00,0.00,0.13,0.33,96.48,329733.00
11,Red Hot Chili Peppers,Under the Bridge,Blood Sugar Sex Magik (Deluxe Edition),album,0.56,0.35,4.00,-13.50,0.05,0.06,0.00,0.14,0.46,84.58,264307.00
12,Red Hot Chili Peppers,Can't Stop,By the Way (Deluxe Edition),album,0.62,0.94,9.00,-3.44,0.05,0.02,0.00,0.17,0.88,91.46,269000.00
13,Red Hot Chili Peppers,Scar Tissue,Californication (Deluxe Edition),album,0.60,0.72,0.00,-4.80,0.03,0.08,0.00,0.11,0.55,88.97,215907.00
14,Red Hot Chili Peppers,Otherside,Californication (Deluxe Edition),album,0.46,0.80,0.00,-3.27,0.06,0.00,0.00,0.08,0.51,123.23,255373.00
15,Red Hot Chili Peppers,Snow (Hey Oh),Stadium Arcadium,album,0.43,0.90,11.00,-3.67,0.05,0.12,0.00,0.12,0.60,104.66,334667.00
16,Red Hot Chili Peppers,Dani California,Stadium Arcadium,album,0.56,0.91,0.00,-2.36,0.04,0.02,0.00,0.35,0.73,96.18,282160.00
17,Red Hot Chili Peppers,By the Way,By the Way (Deluxe Edition),album,0.45,0.97,0.00,-4.94,0.11,0.03,0.00,0.10,0.20,122.44,216933.00
18,Red Hot Chili Peppers,Give It Away,Blood Sugar Sex Magik (Deluxe Edition),album,0.67,0.94,7.00,-9.92,0.05,0.00,0.09,0.15,0.78,91.58,282907.00
19,Red Hot Chili Peppers,Dark Necessities,The Getaway,album,0.70,0.74,5.00,-6.78,0.07,0.07,0.02,0.11,0.20,91.96,302000.00
20,50 Cent,In Da Club,Get Rich Or Die Tryin',album,0.90,0.72,6.00,-2.78,0.35,0.26,0.00,0.07,0.81,90.06,193467.00
